Pattern,Pattern_Type,Sparsity,AE_Loss,SAE_MSE,SAE_L0,Mean_Active_Nodes,Dead_Neurons,Procrustes,Linear_CKA
Standard_Exp_0.7,exponential,0.3,0.0731978209191309,6.535748360274728e-05,0.33445,6.689,11,0.9801055095674249,0.9995596877606483
Standard_Exp_0.7,exponential,0.5,0.07516344185716925,0.000127573861389196,0.330475,6.6095,8,0.9793314727903302,0.9994726673881708
Standard_Exp_0.7,exponential,0.75,0.07393571421491517,5.447840131003234e-05,0.2618,5.236,11,0.9801830477800596,0.9996225570198308
Standard_Exp_0.7,exponential,0.8,0.05425130230937489,2.7847088275827104e-05,0.291175,5.8235,8,0.9860182036175924,0.9997354524462996
Standard_Exp_0.7,exponential,0.85,0.028219970598362794,2.7644142667700538e-05,0.293775,5.8755,7,0.9859036212095952,0.999803447339221
Standard_Exp_0.7,exponential,0.9,0.03508354200418452,2.1685069950421655e-05,0.225425,4.5085,10,0.984718331699787,0.9997157677465429
Standard_Exp_0.7,exponential,0.95,0.043629761985569046,4.561828066900023e-05,0.223,4.46,6,0.9659606777327092,0.9986693589964748
Uniform,uniform,0.3,1.6318348555724669,9.680171508902316e-05,0.29905,5.981,8,0.9823060278520358,0.9994772560306976
Uniform,uniform,0.5,1.4767228065618625,7.04152110042972e-05,0.347375,6.9475,6,0.9839569527862814,0.9996088364291553
Uniform,uniform,0.75,0.8892089481429587,8.689550986904401e-06,0.248675,4.9735,10,0.9944589130597814,0.999962181746207
Uniform,uniform,0.8,0.6629838601824595,7.838323404881783e-05,0.313375,6.2675,7,0.9821757824307731,0.9995462820983372
Uniform,uniform,0.85,0.5322470732638813,2.1705312847382785e-05,0.2776,5.552,8,0.988071027572845,0.9998231187976394
Uniform,uniform,0.9,0.33023988004834076,7.271488438602509e-05,0.286575,5.7315,7,0.9792349333093682,0.9994001596735779
Uniform,uniform,0.95,0.1950413469421362,3.0866999581198736e-05,0.182425,3.6485,6,0.9729840794719563,0.9993178011470113
Steep_Exp_0.5,steep_exponential,0.3,0.007358992071492529,2.9799116603980846e-05,0.221275,4.4255,15,0.986947644699515,0.9997625981934137
Steep_Exp_0.5,steep_exponential,0.5,0.007396985670503111,4.140928522261739e-05,0.226225,4.5245,15,0.9849233473067625,0.9997529033885464
Steep_Exp_0.5,steep_exponential,0.75,0.0073452183420421955,9.046194930493998e-05,0.243425,4.8685,11,0.9750961821706551,0.9994125729962948
Steep_Exp_0.5,steep_exponential,0.8,0.007319727144225572,4.2317023485232295e-05,0.2367,4.734,12,0.9798613360290023,0.9995700960793363
Steep_Exp_0.5,steep_exponential,0.85,0.01880913728442242,3.28769798802031e-05,0.295925,5.9185,8,0.9823514901831406,0.9994765612053703
Steep_Exp_0.5,steep_exponential,0.9,0.04370670688568844,5.8051968811344466e-05,0.289275,5.7855,8,0.9728601705538943,0.9991974613573438
Steep_Exp_0.5,steep_exponential,0.95,0.0257085597115898,6.279874457671378e-05,0.205575,4.1115,12,0.952480688862307,0.9979239737620913
Gentle_Exp_0.9,gentle_exponential,0.3,0.5378804819759792,5.694312831721111e-05,0.296975,5.9395,10,0.9828935993446066,0.9995660263086068
Gentle_Exp_0.9,gentle_exponential,0.5,0.49897023352778924,5.657074209735723e-05,0.297175,5.9435,9,0.9842021699967042,0.999624749119899
Gentle_Exp_0.9,gentle_exponential,0.75,0.3190493680292889,7.107406673368774e-05,0.26375,5.275,9,0.9842309130612175,0.99970357149837
Gentle_Exp_0.9,gentle_exponential,0.8,0.322213630095128,2.5225699434242403e-05,0.317175,6.3435,7,0.9887960387156862,0.9998346106767666
Gentle_Exp_0.9,gentle_exponential,0.85,0.2599975569976849,7.702793841440499e-05,0.308475,6.1695,7,0.9769152940060059,0.9993780121341136
Gentle_Exp_0.9,gentle_exponential,0.9,0.16068890443708908,1.4673487032607213e-05,0.208975,4.1795,10,0.9879010918600858,0.9998326699776144
Gentle_Exp_0.9,gentle_exponential,0.95,0.06099766453928078,5.291094381153288e-05,0.177275,3.5455,11,0.9636097523818441,0.99895136435122
Step_Function,step,0.3,0.6653348397345569,0.0002480159022630097,0.29655,5.931,8,0.9697567183715758,0.9987829836061145
Step_Function,step,0.5,0.5353989739280594,8.235729427423695e-05,0.341,6.82,6,0.9833741188680356,0.9996373705259909
Step_Function,step,0.75,0.2701995992129004,3.8608908616225005e-05,0.291,5.82,9,0.9850749764174629,0.9997725838229308
Step_Function,step,0.8,0.23501664595216373,2.932738020611074e-05,0.244275,4.8855,11,0.9871857245705795,0.9998306307109465
Step_Function,step,0.85,0.25442247069109375,0.0001450918326989569,0.351825,7.0365,5,0.970205136460431,0.9986299790874812
Step_Function,step,0.9,0.14247616687563955,2.675403469925705e-05,0.2385,4.77,9,0.9856880048571794,0.99975288399467
Step_Function,step,0.95,0.11942578863845013,0.00012928857181854938,0.2229,4.458,8,0.9474324495103945,0.9971648417675485
Linear_Decay,linear,0.3,0.7441875708162581,7.393276975916745e-05,0.251325,5.0265,10,0.9805680160914849,0.9994403057630932
Linear_Decay,linear,0.5,0.6596188025095225,3.570738136411132e-05,0.298275,5.9655,8,0.9887704645018153,0.9998328778943671
Linear_Decay,linear,0.75,0.3599591862670936,0.00013344797331834725,0.3513,7.026,5,0.9753608399650309,0.999162065347626
Linear_Decay,linear,0.8,0.2659568090311152,6.841222917242824e-05,0.290125,5.8025,8,0.9836423641551537,0.9996124578704063
Linear_Decay,linear,0.85,0.28552917583615856,3.715897340282363e-05,0.3109,6.218,7,0.9849593560172765,0.9996689163744698
Linear_Decay,linear,0.9,0.16033482995360576,3.785282441671877e-05,0.31065,6.213,6,0.9857359256936377,0.9997709178763312
Linear_Decay,linear,0.95,0.11453857356842091,3.903389265687661e-05,0.19235,3.847,7,0.9748300305986594,0.9993629106295421
