Architecture,Sparse_Dim,SAE_Hidden_Dim,Sparsity,AE_Loss,SAE_MSE,SAE_L0,Mean_Active_Nodes,Dead_Neurons,Procrustes
10-5-10,10,10,0.3,0.0538474196500858,2.1118360326448397e-05,0.4533,4.533,5,0.9872219673147938
10-5-10,10,10,0.5,0.052251547290355506,0.00014922347652596295,0.5513,5.513,4,0.9757065712335536
10-5-10,10,10,0.75,0.024790991672548637,0.00022384040263665877,0.5766,5.766,2,0.957666672007447
10-5-10,10,10,0.8,0.021052969092095954,0.0003769019251314363,0.77955,7.7955,2,0.9500043037691266
10-5-10,10,10,0.85,0.057759836187798695,6.391517770464209e-05,0.4306,4.306,4,0.9695074577522874
10-5-10,10,10,0.9,0.10405820343131526,0.00047309437689901105,0.0,0.0,10,-0.4142135623730947
10-5-10,10,10,0.95,0.021086726923747086,0.0001416311751771565,0.2794,2.794,4,0.9237236724185508
20-5-20,20,20,0.3,0.0731978209191309,6.535748360274728e-05,0.33445,6.689,11,0.9801055095674249
20-5-20,20,20,0.5,0.07516344185716925,0.000127573861389196,0.330475,6.6095,8,0.9793314727903302
20-5-20,20,20,0.75,0.07393571421491517,5.447840131003234e-05,0.2618,5.236,11,0.9801830477800596
20-5-20,20,20,0.8,0.05425130230937489,2.7847088275827104e-05,0.291175,5.8235,8,0.9860182036175924
20-5-20,20,20,0.85,0.028219970598362794,2.7644142667700538e-05,0.293775,5.8755,7,0.9859036212095952
20-5-20,20,20,0.9,0.03508354200418452,2.1685069950421655e-05,0.225425,4.5085,10,0.984718331699787
20-5-20,20,20,0.95,0.043629761985569046,4.561828066900023e-05,0.223,4.46,6,0.9659606777327092
30-5-30,30,30,0.3,0.0738821201874282,5.691888115453596e-05,0.16128333333333333,4.8385,24,0.9817206663739919
30-5-30,30,30,0.5,0.07655466008857383,0.00018191238955862882,0.19583333333333333,5.875,19,0.9702207047210654
30-5-30,30,30,0.75,0.09905856903397896,2.6926537883384137e-05,0.23168333333333332,6.9505,16,0.9877663942632217
30-5-30,30,30,0.8,0.08102207763350486,9.23918078092048e-05,0.22348333333333334,6.7045,16,0.9723772117835636
30-5-30,30,30,0.85,0.03126532326857014,6.825356874079935e-05,0.2308,6.924,16,0.9757476603660441
30-5-30,30,30,0.9,0.04798119085330307,0.00019156482708314177,0.2299,6.897,16,0.9558992180069227
30-5-30,30,30,0.95,0.03831889089297251,8.542057279335491e-05,0.1858,5.574,14,0.9559794271067849
